video_id,title,channel_id,channel_name,category,view_count,comentarios,autores_unicos,likes,respuestas,comentarios_por_1000_vistas
BW41jT3t3oI,Provial,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,People & Blogs,79,0,0,0,0,0.0
BbAeamItalk,ZARAGOZA DA UN PASO HACIA EL FORTALECIMIENTO DEL DEPORTE CON NUEVA CIUDAD DEPORTIVA,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,News & Politics,7,0,0,0,0,0.0
Bdn2nxDqQ90,Video Viral de PMT / GUATEMALA,UC6XLvudi9BWjAzCR-6KAHiw,carlos del cid,Film & Animation,2482,0,0,0,0,0.0
Bi34XvRV6AM,Plan de Evacuación CONRED,UCyGWWWpmAP5AReA_o8bhaRg,MESCOGT,People & Blogs,58,0,0,0,0,0.0
BnZFUzpEDe4,Municipalidad de Guatemala se moderniza,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,People & Blogs,642,0,0,0,0,0.0
Boj5GILjbI0,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 2",UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,26,0,0,0,0,0.0
Bp4LtQT8Hk0,"Ciudad de Guatemala, el mejor lugar para vivir",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,Entertainment,4265,0,0,0,0,0.0
C5hJmAhpMMQ,"YOUTUBE PUNTO DE ENFOQUE MARIO MEJÍA, SUBDIRECTOR DE INSIVUMEH",UClgawHgsbqN6Nuok7ds-Szw,INSIVUMEH,Science & Technology,79,0,0,0,0,0.0
C8wk4HWwWyM,Duro golpe al crimen organizado en Granja Penal de Pavón.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,2214,0,0,0,0,0.0
CDg6kLRfiqQ,Acciones relevantes en el #Resumen24Horas,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,11048,0,0,0,0,0.0
CJQ46Hr4HcU,Municipalidad de Guatemala  19/12/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,222,0,0,0,0,0.0
D3fRGjqHeHI,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 1",UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,23,0,0,0,0,0.0
D4CEpAfkkPI,Policías arremeten contra agente de PMT en zona 10,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,79044,0,0,0,0,0.0
DBvMeKT4gzo,La Familia MÁS RICA de GUATEMALA… Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,UCP1YKuLnn1WhzrkxCv1LILQ,Fortuna Latina,People & Blogs,58881,0,0,0,0,0.0
DC1_qrLUvHI,Municipalidad de Guatemala 26/08/2026,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,49,0,0,0,0,0.0
DMAKF8n0XJs,Guatemala TV • ID (2024-2026),UC7G_DpDtzHv0wbGJvvFCrNg,Mdpls²,Film & Animation,367,0,0,0,0,0.0
DX5eT-hVU8Q,250 años Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,491,0,0,0,0,0.0
DkxSkQipYwo,PRESIDENTE BERNARDO ARÉVALO PARTICIPA EN EL ACTO CONMEMORATIVO DEL DÍA DEL EJÉRCITO,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,News & Politics,66,0,0,0,0,0.0
EGfy1BxGLIk,Colabore con las medidas de la PMT,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,Education,1437,0,0,0,0,0.0
ELhvo8YnYnI,Insivumeh prevé lluvias fuertes por dos ondas del este,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,5182,0,0,0,0,0.0
EQDcEgFpXCk,Guatemala: Gobierno refuerza lucha contra las pandillas en medio de crisis de seguridad,UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,News & Politics,5459,0,0,0,0,0.0
EZfm-05qtWo,Municipalidad de Guatemala prepara plan de actividades en Semana Santa 2023,UCFu4dCls6GPdTvgIeE9wjOA,Cucurucho en Guatemala,People & Blogs,128,0,0,0,0,0.0
F72Rdq5crG4,Cambios en el Ministerio de Comunicaciones: Salen Lizzette Benítez y Adrián Zapata Alamilla,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,News & Politics,1441,0,0,0,0,0.0
FEc1BCuBiDg,¡Estamos con ustedes!,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,1562,0,0,0,0,0.0
FQP4JTo9ShA,Rafael Carrera y el nacimiento de Guatemala,UCvegRo82EipXUzAHQXZmr4A,MundoHistoria,Education,1420,0,0,0,0,0.0
FU5zLTb4inc,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,549,0,0,0,0,0.0
Fapc1-8m5Zc,Municipalidad de Guatemala 21/11/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,282,0,0,0,0,0.0
Fb2Ccfq5S9w,Reo y su esposa fueron asesinados dentro del Preventivo de zona 18,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,15431,0,0,0,0,0.0
FuTz67jS7m0,124 nuevos brigadas refuerzan la seguridad vial en Guatemala,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,Education,45,0,0,0,0,0.0
G2u4Rbq7zU4,Arévalo anuncia nueva cárcel de máxima seguridad en Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,6327,0,0,0,0,0.0
GgU7qhmf020,Sueños GT: educación para la niñez de vendedores ambulantes en Antigua | Super - Episodio 1,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,167,0,0,0,0,0.0
GjGMSFSE1gY,"“Gracias a dios, no hay reelección” 🤡",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,130,0,0,0,0,0.0
HMJXf1VdM5E,Lluvia inusual de Martes Santo provoca inundaciones en zona 1 de Villa Nueva,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,1688,0,0,0,0,0.0
H_TGv_cMwww,PMT: La fuerza laboral reguladora del tránsito más grande,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,2383,0,0,0,0,0.0
I277M6i4jnY,Gestión del Riesgo de Desastres desde las comunidades.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,242,0,0,0,0,0.0
IZLflL4Hgco,El ciudadano Toriello da un paso al frente,UCGSQ821fpPy-yXL9mUmKbBg,TanGente Podcast,Entertainment,28013,0,0,0,0,0.0
IcF9rRdAtp8,Ministro de Comunicaciones Alejandro Sinibaldi realiza supervisión en la Ruta CA-1 Occidente,UCiQAWoQNcuKIAvCCFQC54UQ,Ministerio de Comunicaciones Infraestructura y Vivienda,People & Blogs,211,0,0,0,0,0.0
J6ctng-yAnI,CIV PROVIAL GRADUACIÓN XV PROMOCIÓN BRIGADAS 140619,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,2981,0,0,0,0,0.0
JErfmk-TlRg,Rendición de Cuentas - Primer Cuatrimestre 2023,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,32,0,0,0,0,0.0
J_HBzJUTOus,Presentan estrategia nacional para prevenir violencia durante recorridos de antorchas,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,17,0,0,0,0,0.0
JdxHJkQjM50,🚡 ¿Cómo va avanzando #AeroMetroGT?,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,20901,0,0,0,0,0.0
JgmCtBQWNL8,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,1165,0,0,0,0,0.0
Jr1hJ92H_Nc,"#SinMáscaras | GUERRA SUCIA PERO SUCIA EN SERIO LLEGA A TV AZTECA CON AMPARO, CAMIN Y CASTAÑEDA",UCH4M_4Ed6SUidQthmZ60M2g,Manuel Pedrero,News & Politics,62941,0,0,0,0,0.0
K1IA6oTGws8,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,530,0,0,0,0,0.0
K2qWcueeMOc,#EnvivoDCA | Conferencia de prensa de Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,802,0,0,0,0,0.0
K50uijsHnAM,Informe desde Ciudad de Guatemala: crisis de seguridad tras ataques contra la Policía,UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,News & Politics,135249,0,0,0,0,0.0
KIO6wIJXYY0,"Se tiene que cambiar el sistema electoral en Guatemala, asegura exfiscal",UC_lEiu6917IJz03TnntWUaQ,CNN en Español,News & Politics,16830,0,0,0,0,0.0
KWCyMd4dxkY,Recorrido de los 21K BAM de la Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,13077,0,0,0,0,0.0
KkNQhX_kg8A,🇬🇹HISTORIA de GUATEMALA en 17 minutos🇬🇹 - El Mapa de Sebas,UCVbOEcs6RMxXXX3WWNtl_Fw,El Mapa de Sebas,Education,749356,0,0,0,0,0.0
LRzZy8xBrjA,Conferencia de prensa ante el incremento de los combustibles.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,670,0,0,0,0,0.0
LeN6wpNIB-4,GUATEMALA RECIBE 135 NICARAGUENESES LIBERADOS POR ORTEGA,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,People & Blogs,28,0,0,0,0,0.0
LqY_vAsa4PY,“Guatemala: Una historia escrita con corrupción”,UCBQ9OCZNvmC--OH_e-qGGiA,PFNSE MEDIA,News & Politics,2291,0,0,0,0,0.0
MMECHN8SFNw,"Noticiero en Directo 1 pm, 27 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,4838,0,0,0,0,0.0
MRJ9mKnXR9M,Labor de la PMT es honesta aseguran vecinos,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,People & Blogs,1075,0,0,0,0,0.0
MdIa2Dtj77I,"Consejos para tu viaje a Guatemala: hospedaje, telefonía, transporte y más!   ✈️ 🇬🇹",UCZyaNecz9ugVReNcNfXXurA,Aventuras de una programadora,People & Blogs,134775,0,0,0,0,0.0
Mh94uXZvCLo,DE LOS BOTS AL RECHAZO: CERIMEDO Y LA “GUERRILLA DE LAS REDES” | CAPÍTULO 3 DE 8,UCBDxkiJk5id4TIOa1FotGUA,La  Coma,News & Politics,21,0,0,0,0,0.0
Mme4XikKnlc,Municipalidad anuncia 111 nuevos autobuses y 17 rutas para mejorar el transporte en la capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,3146,0,0,0,0,0.0
N1QkRu38BFE,¡YA CAYÓ ALITO MORENO! ALERTA LO DESTITUYEN DIPUTADOS VOTAN PARA SACARLO DEL SENADO! CLAUDIA INFORMA,UC2EbdGoJZwR_WvkmB0i4rMg,Alexis Burelo,News & Politics,15747,0,0,0,0,0.0
NCvoO61aIfw,Ya casi! Así avanza el Aerómetro que cambiará el transporte en Guatemala,UCkXkEfAaEGxUaIT6TBBkwMw,One Life,Entertainment,26744,0,0,0,0,0.0
NcIcixCdQH4,PNC garantiza seguridad a turistas que visitan el colcán de Agua,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,7681,0,0,0,0,0.0
Nc_Iy0MriYw,🛑🛑Actualización PROVIAL🛑🛑,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,News & Politics,179,0,0,0,0,0.0
NnKpTEfhWjI,✅ ASÍ es una EXHIBICION DE BUSES EN GUATEMALA,UCDfEVbDrimcKw5lfbps915g,De todo Gt,Travel & Events,424874,0,0,0,0,0.0
O6gI0ooBM3E,¿Cómo es el tráfico en Guatemala? 56 días perdidos cada año y una emergencia nacional,UC8mJT9xUcwgEM1vaMaruysw,República TV,News & Politics,16786,0,0,0,0,0.0
OXf_VvvyIDw,Municipalidad de Guatemala 31/08/2026,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,28,0,0,0,0,0.0
OgOICSTSa7k,¡DÉJAME VIVIR! GUATEMALA INTENSIFICA LA LUCHA CONTRA LA CACERÍA ILEGAL DE FAUNA SILVESTRE,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,News & Politics,6,0,0,0,0,0.0
On7jqOm1bpg,🌟Seguimos avanzando🌱,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,News & Politics,10,0,0,0,0,0.0
Oy6sKBhduu4,"Realizan Reunión Ordinaria de #CODEDE, 25 de febrero 2025.",UC_ONTY8RI6b-VqB-dhQ5qBQ,Camarita Castro GT,People & Blogs,84,0,0,0,0,0.0
Oztw_Hta52I,TRAFICO EN GUATEMALA,UC6ZUGqkstVjgNPvxtb90d8A,CHAPINISIMO,Entertainment,2326,0,0,0,0,0.0
PMaSDoG0H1U,¿Adiós al tráfico? Así es la nueva carretera Radial 6 para Guatemala,UCMJ_FUWKr7PyXfvY55BdGZg,La Red 1061,News & Politics,60,0,0,0,0,0.0
Pg1qw0KJI4E,"Surgen detalles de la masacre en Boca del Monte: madre de un bombero e influencer, entre víctimas",UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,20503,0,0,0,0,0.0
Q-MNTYsZgk4,¿Qué ha pasado con la contaminación del aire?,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,45,0,0,0,0,0.0
